antecedents,consequents,support,confidence,lift,conviction
Suicidal_Yes,StudyHrs_High,0.3606,0.5698,1.0718,1.0887
StudyHrs_High,Suicidal_Yes,0.3606,0.6782,1.0718,1.1411
"CGPA_High, StudySat_Low",Suicidal_Yes,0.1544,0.6755,1.0675,1.1316
StudySat_Low,Suicidal_Yes,0.273,0.6747,1.0662,1.1289
"AcadPressure_High, nan",StudyHrs_High,0.2309,0.5627,1.0585,1.0711
AcadPressure_High,"StudyHrs_High, WorkPressure_Low",0.2309,0.5627,1.0584,1.071
AcadPressure_High,"StudyHrs_High, nan",0.2309,0.5627,1.0584,1.071
AcadPressure_High,StudyHrs_High,0.2309,0.5627,1.0584,1.0709
"AcadPressure_High, WorkPressure_Low",StudyHrs_High,0.2309,0.5627,1.0584,1.0709
"Depression_Yes, StudySat_Low",CGPA_High,0.1568,0.5739,1.0582,1.0741
"AcadPressure_High, CGPA_Mid",StudyHrs_High,0.1057,0.5618,1.0567,1.0688
FinStress_High,StudyHrs_High,0.2514,0.5616,1.0563,1.0683
"AcadPressure_High, Sleep_<5h",StudyHrs_High,0.0732,0.5608,1.0549,1.0665
"Depression_Yes, Sleep_5-6h",CGPA_High,0.0721,0.5721,1.0548,1.0695
"AcadPressure_High, FinStress_Low",Suicidal_Yes,0.085,0.6672,1.0544,1.1034
Sleep_<5h,Suicidal_Yes,0.1987,0.667,1.0541,1.1028
"StudyHrs_Low, StudySat_Low",CGPA_High,0.0594,0.5714,1.0535,1.0677
"AcadPressure_High, Gender_Female",StudyHrs_High,0.1049,0.5601,1.0535,1.0647
"Depression_Yes, StudyHrs_Low",CGPA_High,0.067,0.5705,1.0519,1.0656
